matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
58513086434876,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,124 | 2345 | 13568 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 3,7,1/16,1/4,82 coalition domains; 7 x-vertices; 4 base dual vertices
58513086434878,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,124 | 23458 | 13568 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 3,7,1/16,3/8,74 coalition domains; 7 x-vertices; 3 base dual vertices
58513086434879,2,1 1 1 1 1 1 1 2,1 2 3 4 5 6 7,7,0.0666666666667,1248 | 23458 | 13568 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 4,6,1/16,3/8,81 coalition domains; 7 x-vertices; 3 base dual vertices
58513135455802,2,1 1 1 1 1 1 0 1,1 2 3 4 5 6 8,7,0.0666666666667,125 | 2348 | 1346 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,2 4,6,1/16,1/4,80 coalition domains; 7 x-vertices; 3 base dual vertices
58716022591100,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,1347 | 2345 | 1268 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 3,5,1/16,1/4,96 coalition domains; 7 x-vertices; 4 base dual vertices
58783718391096,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,1256 | 2346 | 1247 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,2 4,7,1/16,1/3,110 coalition domains; 7 x-vertices; 5 base dual vertices
62910058942014,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,2345 | 1248 | 13568 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,2 3,7,1/16,1/3,93 coalition domains; 7 x-vertices; 4 base dual vertices
63043202649530,2,1 1 1 1 1 0 1 1,1 2 3 4 5 7 8,7,0.0666666666667,234 | 1478 | 1257 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2,5,1/16,1/4,82 coalition domains; 7 x-vertices; 3 base dual vertices
63043269479474,2,1 1 1 1 1 1 0 1,1 2 3 4 5 6 8,7,0.0666666666667,2345 | 1458 | 1246 | 1356 | 2378 | 45678,fixed coalitionwise price-saturation,2 5,6,1/16,1/4,114 coalition domains; 7 x-vertices; 4 base dual vertices
63045383433788,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,2345 | 1356 | 1248 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 4,6,1/16,3/8,78 coalition domains; 7 x-vertices; 4 base dual vertices
63180707933496,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,2345 | 1246 | 1247 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,2 4,7,1/16,1/4,98 coalition domains; 7 x-vertices; 6 base dual vertices
67307097730100,2,1 1 1 1 1 1 0 1,1 2 3 4 5 6 8,7,0.0666666666667,1245 | 1246 | 1348 | 1356 | 2378 | 45678,fixed coalitionwise price-saturation,1 5,6,1/16,1/3,105 coalition domains; 7 x-vertices; 4 base dual vertices
67578533919540,2,1 1 1 1 0 1 1 1,1 2 3 4 6 7 8,7,0.0666666666667,1236 | 1246 | 1278 | 1347 | 2348 | 5678,fixed coalitionwise price-saturation,2 3,3,1/16,1/8,115 coalition domains; 7 x-vertices; 6 base dual vertices
849791561016,3,0 1 2 2 1 1 1 1,2 3 4 5 6 7 8,7,0.0769230769231,345 | 346 | 237 | 248 | 3478 | 5678,fixed coalitionwise price-saturation,1 3 4,6,1/12,1/3,106 coalition domains; 7 x-vertices; 2 base dual vertices
1050598362489,3,0 2 1 1 1 1 2 2,2 3 4 5 6 7 8,7,0.0769230769231,278 | 235 | 2467 | 2468 | 3478 | 5678,fixed coalitionwise price-saturation,1 2 4,7,1/8,5/14,72 coalition domains; 7 x-vertices; 2 base dual vertices
14595049057394,3,1 1 1 1 2 2 1 1,1 2 3 5 6 7 8,7,0.0769230769231,157 | 168 | 2456 | 3456 | 2378 | 45678,fixed coalitionwise price-saturation,1 4 6,2,1/12,1/3,103 coalition domains; 7 x-vertices; 5 base dual vertices
14875058661936,3,1 1 2 2 1 1 1 1,1 3 4 5 6 7 8,7,0.0769230769231,135 | 146 | 3456 | 2347 | 2348 | 5678,fixed coalitionwise price-saturation,1 2 4,8,1/12,1/6,123 coalition domains; 7 x-vertices; 5 base dual vertices
